doi,year,title,source_id,source_title,retracted,area,category,intext_citation.section,intext_citation.pointer,intext_citation.intent,intext_citation.sentiment,intext_citation.section.ret_mention
10.1080/13590840020024994,2000,Mercury Again,issn:1359-0847; issn:1364-6907,Journal Of Nutritional & Environmental Medicine,No,"Medicine;;
Nursing;;
Agricultural and Biological Sciences;;
","Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;
Nutrition and Dietetics;;
Food Science;;",none,6,cites for information;;,neutral;;,no;;
10.1177/0141076813511452,2013,Fraud in scientific research – birth of the Concordat to uphold research integrity in the United Kingdom,issn:0141-0768; issn:1758-1095,Journal Of The Royal Society Of Medicine,no,Medicine;;,Medicine (miscellaneous);;,"“A dishonourable past”;Middle Section;;
“Concordat”;Middle Section;;",6,"qualifies;;
cites as evidence;; ","negative;;
negative;;",no;;
10.1097/00019052-200206000-00018,2002,"Neurological adverse events associated with vaccination

",issn:1350-7540,Current Opinion In Neurology,no,"Medicine;;
Neuroscience;;","Neurology (clinical);;
Neurology;;",middle section;“Complications with currently available vaccines”;;,5,credits;;,neutral;;,no;;
10.1007/s00103-010-1234-5,2011,Vaccine side effects in children and adolescents. Results of the Child and Adolescent Health Survey,issn:1436-9990; issn:1437-1588,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",Introduction,5,credits;;,negative;;,no;;
10.1111/cea.12325,2014,"The changing pattern of measles, mumps and rubella vaccine uptake in egg‐allergic children

",issn:0954-7894,Clinical & Experimental Allergy,no,"Immunology and Microbiology;;
Medicine;;","Immunology;;
Immunology and Allergy;;",None;;,5,qualifies;;,negative;;,no;;
10.1097/00001574-199907000-00008,1999,Inflammatory bowel disease in pediatric patients,issn:0267-1379,Current Opinion In Gastroenterology,no,Medicine,Gastroenterology,First section; “Epidemiologic aspects”;;,5,qualifies;;,neutral;;,no;;
10.1186/s12998-017-0157-8,2017,Appeal to fear in health care: appropriate or inappropriate?,issn:2045-709X,Chiropractic & Manual Therapies,no,"Health Professions;;
Medicine;;","Chiropractics;
Physical Therapy, Sports Therapy and Rehabilitation;;
Complementary and Alternative Medicine;;",“Examples of appeal to fear”;Middle Section;;,5,critiques;;,negative;;,yes;;
10.1111/1753-6405.12720,2017,"Knowledge, attitudes and opinions towards measles and the MMR vaccine across two NSW cohorts",issn:1326-0200,Australian And New Zealand Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",Introduction,5,qualifies;;,negative;;,no;;
10.1002/jppr1998286443,1998,"Controversies in Vaccination with Measles, Mumps, Rubella (MMR) Vaccine",issn:2055-2335; issn: 1445-937X,Journal of Pharmacy Practice and Research,no,Medicine,Pharmacology (medical);;,none,5,"Disputes;;
discusses;;
disputes;;","neutral;;
neutral;;
neutral;;",no;;
10.1007/s13181-017-0635-3,2017,Maintaining the Public Trust in Journals with Ethical Publishing,issn:1556-9039; issn:1937-6995,Journal Of Medical Toxicology,no,"Environmental Science;;
Pharmacology, Toxicology and Pharmaceutics;;","Health, Toxicology and Mutagenesis;;
Toxicology;;",None,5,cites as evidence;;,negative;;,yes;;
10.1111/j.1469-8749.2011.03915.x,2011,No association between early gastrointestinal problems andautistic-like traits in the general population,issn:0012-1622,Developmental Medicine & Child Neurology,no,"Medicine;;
Neuroscience;;","Neurology (clinical);
Pediatrics, Perinatology and Child Health;;
Developmental Neuroscience;;",discussion;;,5,disputes;;,neutral;;,yes;;
10.1097/01.ede.0000082044.88833.c4,2003,"Does Bleach Disinfection of Syringes Help Prevent Hepatitis C Virus Transmission? 
",issn:1044-3983,Epidemiology,no,Medicine;;,Epidemiology;;,None,5,credits;;,neutral;;,no;;
10.1592/phco.23.15.1524.31955,2003,Epidemiology and Possible Causes of Autism,issn:0277-0008,Pharmacotherapy,no,Medicine;;,Pharmacology (medical);;,"Background;; 
Background;; 
Background;; 
Background;; ",5,"credits;;
discusses;;
disputes;;
discusses;;","neutral;;
neutral;;
neutral;;
neutral;;",no;;
10.1097/01.npr.0000476371.27491.20,2016,"The antivaccine movement: Legal implications for nurse practitioners 
",issn:0361-1817,The Nurse Practitioner,no,"Medicine;;
Nursing;;","Medicine (miscellaneous);;
Nursing (miscellaneous);;",“The antivaccine movement ”;Middle Section;;,4,"Cites for information;;
",negative;;,yes;;
10.1097/00001574-200107000-00009,2001,"Pediatric inflammatory bowel disease: clinical and therapeutic aspects 
",issn:0267-1379,Current Opinion In Gastroenterology,no,Medicine;;,Gastroenterology;;,"middle section;“Autism, pervasive developmental disorders, and autistic enterocolitis”;;",4,describes;;,negative;;,no;;
10.1097/01720610-201206000-00010,2012,A casualty of the immunization wars: The reemergence of measles ,issn:1547-1896,Journal Of The American Academy Of Physician Assistants,no,Nursing;;,Nurse Assisting;;,Background;;,4,credits;;,neutral;;,no;;
10.1179/016164110x12645013515214,2010,"Neurological complications following vaccinations 
",issn:0161-6412; issn:1743-1328,Neurological Research,no,"Medicine;;
Neuroscience;;","Medicine (miscellaneous);
Neurology (clinical);;
Neurology;;","introduction;;
Middle section; “Viral vaccines”;;",4,"cites for information;;
disputes;;","neutral;;
neutral;;",no;;
10.1586/14760584.6.5.863,2007,"Neurological adverse events of immunization: experience with an aluminum adjuvanted meningococcal B outer membrane vesicle vaccine

",issn:1476-0584; issn:1744-8395,Expert Review Of Vaccines,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Molecular Medicine;;
Immunology;;
Drug Discovery;
Pharmacology;;",introduction;;,4,disputes;;,neutral;;,no;;
10.1097/00008480-200210000-00004,2002,Autistic disorder and gastrointestinal disease,issn:1040-8703,Current Opinion In Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",introduction;;,4,credits;;,neutral;;,no;;
10.2105/ajph.2008.140376,2008,"BAKER RESPONDS
",issn:0090-0036; issn:1541-0048,American Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",none;;,4,cites for information;;,neutral;;,no;;
10.1136/medethics-2013-101944,2013,Ethics briefing,issn:0306-6800; issn:1473-4257,Journal Of Medical Ethics,no,"Arts and Humanities;;
Medicine;;
Nursing;;
Social Sciences;;","Arts and Humanities (miscellaneous);;
Health Policy;;
Issues, Ethics and Legal Aspects;;
Health (social science);;","“Children: measles, mumps and rubella”;Middle Section;;",3,discusses;;,negative;;,no;;
10.3414/me14-05-0004,2014,Citation Analysis in Health Care Sciences,issn:0026-1270; issn:2511-705X,Methods Of Information In Medicine,no,"Health Professions;;
Medicine;;
Nursing;;","Health Information Management;;
Health Informatics;;
Advanced and Specialized Nursing;;",“The Citation Index Weakness”;Middle Section;;,3,cites as evidence;;,negative;;,no;;
10.1093/eurpub/cki194,2005,"Understanding variation in measles–mumps–rubella immunization coverage—a population-based study 

",issn:1464-360X; issn:1101-1262,European Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",introduction;;,3,disputes;;,neutral;;,no;;
10.3390/vaccines1030293,2013,A Multidisciplinary Research Agenda for Understanding Vaccine-Related Decisions,issn:2076-393X,Vaccines,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Infectious Diseases;
Pharmacology (medical);;
Drug Discovery;
Pharmacology;;","Introduction;;
",3,discusses;;,negative;;,yes;;
10.3889/mmej.2015.50002,2015,Affair and Fraud of Andrew Jeremy Wakefield for Autism,issn:1857-9809,Macedonian Medical Electronic Journal,no,,,Introduction,3,disputes;;,neutral;;,no;;
10.1007/978-3-319-18096-0_60,2016,Autism and Genetics ,isbn:9783319180953; isbn:9783319180960,Health Care For People With Intellectual And Developmental Disabilities Across The Lifespan,no,Medicine,Internal medicine,Introduction,3,disputes;;,negative;;,no;;
10.1089/hs.2017.0021,2017,The Diversity of Challenges in the Control of Measles Outbreaks ,issn:2326-5094; issn:2326-5108,Health Security,no,"Environmental Science;;
Medicine;;
Social Sciences;;","Health, Toxicology and Mutagenesis;
Management, Monitoring, Policy and Law;;
Emergency Medicine;
Public Health, Environmental and Occupational Health;;
Health (social science);
Safety Research;;",“The Nature and Role of Vaccination Gap”;Middle Section;;,3,qualifies;;,negative;;,yes;;
10.1080/14034940310022205,2004,Notes from a small island,issn:1403-4948; issn:1651-1905,Scandinavian Journal Of Public Health,no,Medicine;;,"Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;",None,3,credits;;,neutral;;,no;;
10.1017/s0950268809002714,2009,"A measles outbreak in the Irish traveller ethnic group after attending a funeral in England, March–June 2007",issn:0950-2688; issn:1469-4409,Epidemiology And Infection,no,Medicine;;,"Epidemiology;
Infectious Diseases;;",introduction;;,3,credits;;,neutral;;,no;;
10.1109/pes.2008.4596015,2008,"A guide to reviewing technical graphics 
",,,no,,,middle section; “CASE STUDIES“;;,3,disputes;;,neutral;;,yes;;
10.1016/j.riem.2017.02.001,2017,"What can we do as educators in the face of anti-age and ""alternative facts"" ?: transcending the era of lies",issn:2007-5057,Investigación En Educación Médica,no,,,None,3,critiques;;,negative;;,yes;;
10.1111/j.1365-2559.2007.02805.x,2007,"Autistic enterocolitis: is it a histopathological entity?

",issn:0309-0167; issn:1365-2559,Histopathology,no,Medicine;;,"Histology;
Medicine (miscellaneous);
Pathology and Forensic Medicine;;",none,3,"disputes;;
ridicules;;
critiques;;","negative;;
negative;;
negative;;",no;;
10.4161/hv.24691,2013,"Should childhood MMR vaccination be compulsory? Rights, duties and the public interest",issn:2164-5515; issn:2164-554X,Human Vaccines & Immunotherapeutics,no,"Immunology and Microbiology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Immunology and Allergy;
Medicine (miscellaneous);;
Pharmacology;;","Introduction;;
",2,discusses;;,negative;;,no;;
10.1186/1471-2458-7-42,2007,"Parents' champions vs. vested interests: Who do parents believe about MMR? A qualitative study
",issn:1471-2458,Bmc Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",Background;;,2,discusses;;,negative;;,no;;
10.2144/000113096,2009,"Malleus Malefactorum

",issn:0736-6205; issn:1940-9818,Biotechniques,no,"Biochemistry, Genetics and Molecular Biology;;","Biochemistry, Genetics and Molecular Biology (miscellaneous);
Biotechnology;;",None,2,discusses;;,negative;;,no;;
10.1046/j.1440-1754.2002.00791.x,2002,"Vaccination and risk communication: Summary of a workshop, Arlington Virginia, USA, 5–6 October 2000",issn:1034-4810; issn:1440-1754,Journal Of Paediatrics And Child Health,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",introduction;;,2,cites as evidence;;,neutral;;,no;;
10.1586/14760584.1.2.145,2002,MMR and autism: moving from controversy toward consensus,issn:1476-0584; issn:1744-8395,Expert Review Of Vaccines,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Molecular Medicine;;
Immunology;;
Drug Discovery;
Pharmacology;;","middle section;“A clinical observation generates a scientific hypothesis & political controversy”;;
middle section;“A clinical observation generates a scientific hypothesis & political controversy”;;
middle section;“A clinical observation generates a scientific hypothesis & political controversy”;;
Middle section; “Does the MMR vaccine cause autism?”;; 
",2,"describes;;
discusses;;
discusses;;
qualifies;;","neutral;;
neutral;;
neutral;;
neutral;;",no;;
10.1080/02813430510031306,2005,"Parents’ reported reasons for avoiding MMR vaccination
",issn:0281-3432; issn:1502-7724,Scandinavian Journal Of Primary Health Care,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",introduction;;,2,disputes;;,neutral;;,no;;
10.1377/hlthaff.24.3.740,2005,It Did Happen Here: Fear And Loathing On The Vaccine Trail,issn:0278-2715; issn:1544-5208,Health Affairs,no,Medicine;;,"Health Policy;
Medicine (miscellaneous);;",introduction;;,2,discusses;;,neutral;;,no;;
10.1097/00006454-200109000-00013,2001,BACTERICIDAL/PERMEABILITY-INCREASING PROTEIN: CLINICAL DEVELOPMENT AND POTENTIAL PEDIATRIC APPLICATIONS,issn:0891-3668,The Pediatric Infectious Disease Journal,no,Medicine,"Infectious Diseases;
Medicine (miscellaneous);
Pediatrics, Perinatology and Child Health;;",middle section;“VACCINES AND AUTISM  ”;;,2,describes;;,neutral;;,no;;
10.1345/aph.1d293,2004,"Relationship Between MMR Vaccine and Autism



",issn:1060-0280; issn:1542-6270,Annals Of Pharmacotherapy,no,Medicine;;,"Medicine (miscellaneous);
Pharmacology (medical);;","Background;;
Background;;
Background;;
Background;;",2,"credits;;
describes;;
discusses;; 
Cites for information;;","neutral;;
neutral;;
neutral;;
neutral;;",no;;
10.1017/s0317167100005278,2006,Autism and MMR Vaccination or Thimerosal Exposure: An Urban Legend?,issn:0317-1671; issn:2057-0155,Canadian Journal Of Neurological Sciences / Journal Canadien Des Sciences Neurologiques,no,"Medicine;;
Neuroscience;;","Medicine (miscellaneous);
Neurology (clinical);;
Neurology;;",none,2,ridicules;;,negative;;,yes;;
10.1089/act.2006.12.233,2006,"Assessing CAM Options for Treating Autism
",issn:1076-2809; issn:1557-9085,Alternative And Complementary Therapies,no,Medicine;;,Complementary and Alternative Medicine;;,"middle section;“Gluten-Free, Casein-Free Diet ”;;",2,cites as evidence;;,neutral;;,no;;
10.1073/pnas.1504019112,2015,Countering antivaccination attitudes,issn:0027-8424; issn:1091-6490,Proceedings Of The National Academy Of Sciences,no,Multidisciplinary;;,Multidisciplinary;;,"Introduction;;
",2,discusses;;,negative;;,no;;
10.1002/rmv.1928,2017,Virology in a “post‐truth” world,issn:1052-9276; issn:1099-1654,Reviews In Medical Virology,no,"Immunology and Microbiology;;
Medicine;;","Virology;;
Infectious Diseases;;",None,2,discusses;;,negative;;,yes;;
10.1111/j.1740-9713.2006.00196.x,2006,"Vaccine scares

",issn:1740-9705,Significance,no,Mathematics,Statistics and Probability;;,middle section;“MMR and autism”;;,2,disputes;;,neutral;;,yes;;
10.1586/erv.10.20,2010,"Monitoring and assessing vaccine safety: a European perspective

",issn:1476-0584; issn:1744-8395,Expert Review Of Vaccines,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Molecular Medicine;;
Immunology;;
Drug Discovery;
Pharmacology;;",introduction;;,2,discusses;;,negative;;,no;;
10.1002/rmv.1743,2013,Get political: the case for greater virological leadership,issn:1052-9276; issn:1099-1654,Reviews In Medical Virology,no,"Immunology and Microbiology;;
Medicine;;","Virology;;
Infectious Diseases;;",None,2,discusses;;,negative;;,no;;
10.1111/j.1572-0241.2005.41202_4.x,2005,"Panenteric IBD-Like Disease in a Patient with Regressive Autism Shown for the First Time by the Wireless Capsule Enteroscopy: Another Piece in the Jigsaw of this Gut-Brain Syndrome? 
",issn:0002-9270; issn:1572-0241,The American Journal Of Gastroenterology,no,Medicine,"Gastroenterology;
Hepatology;;",None,1,discusses;;,neutral;;,no;;
10.1177/0962280216660420,2016,A model to estimate the impact of changes in MMR vaccine uptake on inequalities in measles susceptibility in Scotland,issn:0962-2802; issn:1477-0334,Statistical Methods In Medical Research,no,"Health Professions;;
Mathematics;;
Medicine;;","Health Information Management;;
Statistics and Probability;;
Epidemiology;;","Introduction;;
Introduction;;
Introduction;;
Introduction;;
Results;;
Results;;
Conclusions;;
Conclusions;;
Conclusions;;

",1,"describes;;
Obtains background from;;
disputes;;
Obtains background from;;
discusses;;
Obtains background from;;

Obtains background from;;

discusses;;

Obtains background from;;

","neutral;;
neutral;;
negative;;
neutral;;
neutral;;
neutral;;
negative;;
neutral;;
neutral;;",yes;;
10.1371/journal.pone.0003140,2008,"Lack of Association between Measles Virus Vaccine and Autism with Enteropathy: A Case-Control Study 
",issn:1932-6203,Plos One,no,"Agricultural and Biological Sciences;;
Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Agricultural and Biological Sciences (miscellaneous);;
Biochemistry, Genetics and Molecular Biology (miscellaneous);;
Medicine (miscellaneous);;","introduction;;
introduction;;
Method;;",1,"discusses;;
discusses;;
cites for information;;","neutral;;
neutral;;
neutral;;",no;;
10.1258/jrsm.2008.070363,2008,"Perceptions of childhood immunization in a minority community: qualitative study



",issn:0141-0768; issn:1758-1095,Journal Of The Royal Society Of Medicine,no,Medicine;;,Medicine (miscellaneous);;,introduction;;,1,credits;;,negative;;,no;;
10.1002/rmv.389,2003,Vaccines: back to the future,issn:1052-9276; issn:1099-1654,Reviews In Medical Virology,no,"Immunology and Microbiology;;
Medicine;;","Virology;;
Infectious Diseases;;",None,1,credits;;,neutral;;,no;;
10.1111/1468-0009.12075,2014,"Power and Persuasion in the Vaccine Debates: An Analysis of Political Efforts and Outcomes in the United States, 1998‐2012",issn:0887-378X,Milbank Quarterly,no,Medicine;;,"Health Policy;
Public Health, Environmental and Occupational Health;;","Introduction;;
",1,credits;;,neutral;;,yes;;
10.3109/08039488.2015.1074284,2015,Towards a science of eating disorders: Replacing myths with realities: The fourth Birgit Olsson lecture,issn:0803-9488; issn:1502-4725,Nordic Journal Of Psychiatry,no,Medicine,Psychiatry and Mental Health;;,“The challenge of unlearning ”;First Section;;,1,critiques;;,negative;;,yes;;
10.1111/j.1753-6405.2008.00268.x,2008,Public health research and the need for methodological rigour,issn:1326-0200,Australian And New Zealand Journal Of Public Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",none,1,critiques;;,negative;;,no;;
10.1093/infdis/jiu649,2015,A Vision for Investigating the Microbiology of Health and Disease ,issn:0022-1899; issn:1537-6613,Journal Of Infectious Diseases,no,Medicine,"Immunology and Allergy;
Infectious Diseases;;",“MECHANISMS OF PATHOGENESIS AND PROOF OF CAUSATION”;First Section;;,1,cites as evidence;;,negative;;,no;;
10.1111/j.1365-2753.2009.01350.x,2009,"Personal experience in doctor and patient decision making: from psychology to medicine

",issn:1356-1294,Journal Of Evaluation In Clinical Practice,no,Medicine;;,"Health Policy;Public Health, Environmental and Occupational Health;;",introduction;;,1,cites as evidence;;,negative;;,no;;
10.1093/pch/6.6.387,2001,"Measles-mumps-rubella vaccine and autistic spectrum disorder: A hypothesis only 

",issn:1205-7088; issn:1918-1485,Paediatrics & Child Health,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",none,1,"discusses;;
credits;;
qualifies;;
disputes;;
credits;;
discusses;;","neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
negative;;",no;;
10.1038/sj.mp.4001266,2003,"MMR and autistic enterocolitis: consistent epidemiological failure to find an association
",,,no,,,None,1,discusses;;,neutral;;,no;;
10.3399/bjgp14x680977,2014,Cost effectiveness of a web-based decision aid for parents deciding about MMR vaccination: a three-arm cluster randomised controlled trial in primary care,issn:0960-1643; issn:1478-5242,British Journal Of General Practice,no,Medicine;;,"Family Practice;
Medicine (miscellaneous);;","Introduction;;
",1,discusses;;,negative;;,no;;
10.2217/17455111.2.6.667,2008,Vaccination and autism 10 years on: why are parents still worried?,issn:1745-5111; issn:1745-512X,Pediatric Health,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",none,1,credits;;,neutral;;,no;;
10.1177/0017896910363146,2010,"Evaluating a web-based MMR decision aid to support informed decision-making by UK parents:A before-and-after feasibility study 
",issn:0017-8969; issn:1748-8176,Health Education Journal,no,Medicine;;,"Public Health, Environmental and Occupational Health;;",Background;;,1,credits;;,neutral;;,no;;
10.7243/2052-935x-4-1,2016,"Misinformed parents, unvaccinated children and the fabricated vaccine-autism scare",issn:2052-935X,Paediatrics And Health,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",None;;,1,critiques;;,negative;;,no;;
10.1056/nejmoa021134,2002,"A Population-Based Study of Measles, Mumps, and Rubella Vaccination and Autism
",issn:0028-4793; issn:1533-4406,New England Journal Of Medicine,no,Medicine;;,Medicine (miscellaneous);;,"introduction;;
introduction;;
discussion;;",1,"discusses;;
discusses;;
Disputes;;","neutral;;
neutral;;
neutral;;",no;;
10.1097/01720610-201006000-00012,2010,MMR vaccine and autism: Is there a link?,issn:1547-1896,Journal Of The American Academy Of Physician Assistants,no,Nursing;;,Nurse Assisting;;,Background;;,1,describes;;,neutral;;,no;;
10.1177/146642400512500212,2005,"Risks and benefits of the single versus the triple MMR vaccine: how can health professionals reassure parents?



",issn:1466-4240,Journal Of The Royal Society For The Promotion Of Health,no,Medicine;;,"Public Health, Environmental and Occupational Health;;","Abstract;;
Abstract;;
Introduction;;
Introduction;;
Middle section; “WAKEFIELD ET AL’S RESEARCH STUDY ”;;",1,"qualifies;;
obtains background from;;
qualifies;;
obtains background from;;
critiques;;","neutral;;
neutral;;
neutral;;
neutral;;
negative;;",no;;
10.1086/596476,2009,"Vaccines and Autism: A Tale of Shifting Hypotheses 

",issn:1058-4838; issn:1537-6591,Clinical Infectious Diseases,no,Medicine;;,"Infectious Diseases;
Microbiology (medical);;","middle section;“MMR ”;;
middle section;“MMR ”;;
middle section;“MMR ”;;",1,"describes;;
disputes;;
discusses;;","neutral;;
negative;;
negative;;",no;;
10.1038/ajg.2010.149,2010,Retraction: Enterocolitis in Children With Developmental Disorders,issn:0002-9270; issn:1572-0241,American Journal Of Gastroenterology,no,Medicine,"Gastroenterology;
Hepatology;;",None,1,"discusses;;
discusses;; ","negative;;
negative;;",Yes;;
10.1111/j.1365-263x.2004.00552.x,2004,Issues of integrity and trust,issn:0960-7439; issn:1365-263X,International Journal Of Paediatric Dentistry,no,Dentistry;;,Dentistry (miscellaneous);;,None,1,credits;;,negative;;,yes;;
10.1093/fampra/cmi066,2005,"Predicting parents' decisions on MMR immunisation: a mixed method investigation 

",issn:1460-2229; issn:0263-2136,Family Practice,no,Medicine;;,Family Practice;;,"introduction;;
introduction;;",1,"credits;;
disputes;;","neutral;;
neutral",no;;
10.1177/014107680409701115,2004,Book of the Month: MMR: Science and Fiction,issn:0141-0768; issn:1758-1095,Journal Of The Royal Society Of Medicine,no,Medicine;;,Medicine (miscellaneous);;,None,1,obtains background from;;,neutral;;,no;;
10.1371/journal.pbio.1000114,2009,"A Broken Trust: Lessons from the Vaccine–Autism Wars

",issn:1545-7885,Plos Biology,no,"Agricultural and Biological Sciences;;
Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Neuroscience;;","Agricultural and Biological Sciences (miscellaneous);;
Biochemistry, Genetics and Molecular Biology (miscellaneous);;
Immunology and Microbiology (miscellaneous);;
Neuroscience (miscellaneous);;",introduction;;,1,discusses;;,negative;;,no;;
10.1016/j.bmhimx.2015.09.007,2015,Parental decisions that do not risk children's lives but place them at significant harm: foregoing vaccination,,,no,,,“Decision-making shared between parents and doctors”;Middle Section;;,1,discusses;;,negative;;,no;;
10.1111/ijpp.12044,2013,The slippery slope of errors,issn:0961-7671,International Journal Of Pharmacy Practice,no,"Health Professions;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Pharmacy;;
Health Policy;
Medicine (miscellaneous);
Public Health, Environmental and Occupational Health;;
Pharmaceutical Science;;",None;;,1,critiques;;,negative;;,no;;
10.1002/bies.201400075,2014,Altered brain‐gut axis in autism: Comorbidity or causative mechanisms?,issn:0265-9247,Bioessays,no,"Biochemistry, Genetics and Molecular Biology;;","Biochemistry, Genetics and Molecular Biology (miscellaneous);;","Introduction;;
",1,cites as evidence;;,negative;;,no;;
10.1038/sj.mp.4001181,2002,"MMR vaccine and autism: a review of the evidence for a causal association
",,,no,,,none,1,"describes;;
disputes;;","neutral;;
negative;;",no;;
10.1517/14740338.1.2.115,2002,"MMR vaccination and autism: is there a link?

",issn:1474-0338; issn:1744-764X,Expert Opinion On Drug Safety,no,Medicine;;,"Medicine (miscellaneous);
Pharmacology (medical);;","middle section;“The autistic enterocolitis hypothesis ”;;
Middle section; “Other evidence related to MMR and autism”;;
Middle section; “Other evidence related to MMR and autism”;;",1,"credits;;
disputes;;
cites for information;;","neutral;;
neutral;;
neutral;;",no;;
10.1177/088307380401900106,2004,"Seizures and Epilepsy Among Children With Language Regression and Autistic Spectrum Disorders



",issn:0883-0738; issn:1708-8283,Journal Of Child Neurology,no,Medicine,"Neurology (clinical);
Pediatrics, Perinatology and Child Health;;",introduction;;,1,disputes;;,neutral;;,no;;
10.1177/1460458208096654,2008,A content analysis of mass media sources in relation to the MMR vaccine scare,issn:1460-4582; issn:1741-2811,Health Informatics Journal,no,Medicine;;,Health informatics;;,"introduction;;
Results;;
Results;;
Results;;
Results;;
Results;;
Conclusions;;",1,"credits;; 
obtains background from;;
obtains background from;;
obtains background from;;
discusses;;
disputes;;
disputes;;","neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;",no;;
10.1097/01.mop.0000133711.72529.78,2004,"Immunizations, neonatal jaundice, and animal-induced injuries",issn:1040-8703,Current Opinion In Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",First section; “IMMUNIZATIONS”;;,1,credits;;,neutral;;,no;;
10.1093/ije/dyp267,2009,"Autism's False Prophets. Paul Offit. 
",issn:0300-5771; issn:1464-3685,International Journal Of Epidemiology,no,Medicine;;,"Epidemiology;
Medicine (miscellaneous);;",None,1,discusses;;,negative;;,no;;
10.1093/pch/9.6.373,2004,"Ethics in research: Immunization and autism links 

",issn:1205-7088; issn:1918-1485,Paediatrics & Child Health,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",None,1,describes;;,neutral;;,no;;
10.1177/1362361302006001008,2002,Iron Deficiency in Autism and Asperger Syndrome,issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,discussion;;,1,discusses;;,neutral;;,no;;
10.1172/jci38913,2009,"Autism’s false prophets: Bad science, risky medicine, and the search for a cure
",issn:0021-9738,Journal Of Clinical Investigation,no,Medicine;;,Medicine (miscellaneous);;,None,1,"critiques;;
discusses;;","negative;;
neutral;;",yes;;
10.1016/j.rmu.2016.01.002,2016,"A new form of fraud in scientific publishing: Supplanting or hacking the scientific review process

",,,no,,,None;;,1,discusses;;,neutral;;,no;;
10.1111/j.1572-0241.2000.03248.x,2000,"Enterocolitis in Children With Developmental Disorders

",issn:0002-9270; issn:1572-0241,The American Journal Of Gastroenterology,Yes,Medicine,"Gastroenterology;
Hepatology;;","introduction;;
introduction;;
introduction;;
introduction;;
Method;;
Method;;
Results;;
Results;;
discussion;;",1,"Uses data from;;
discusses;;
cites for information;;
obtains background from;;
Uses data from;;
cites for information;;
obtains support from;;
obtains support from;;
extends;;","neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
neutral;;
positive;;
positive;;
positive;;",no;;
10.1179/146531205225020925,2005,The research component in orthodonticeducation:sniffingoutrats (SnOR),issn:1465-3125; issn:1465-3133,Journal Of Orthodontics,no,Dentistry;;,Orthodontics;;,None,1,qualifies;;,neutral;;,no;;
10.1007/s12098-017-2532-9,2017,Vaccine Safety and Surveillance for Adverse Events Following Immunization (AEFI) in India,issn:0019-5456; issn:0973-7693,The Indian Journal Of Pediatrics,no,Medicine;;,"Pediatrics, Perinatology and Child Health;;",“Vaccine Safety Concerns and Vaccine Hesitancy”;Middle section;;,9,credits;;,negative;;,yes;;
10.1017/s0950268814000752,2014,The impact of the media on the decision of parents in South Wales to accept measles-mumps-rubella (MMR) immunization,issn:0950-2688; issn:1469-4409,Epidemiology And Infection,no,Medicine;;,"Epidemiology;
Infectious Diseases;;","Introduction;;
",2,credits;;,negative;;,no;;
10.1007/978-3-319-69350-7_1,2017,Fraud in Publishing ,isbn:9783319693491; isbn:9783319693507,Medical Writing And Research Methodology For The Orthopaedic Surgeon,no,Medicine,Medicine (miscellaneous),“Types of Fraud in Publishing”;Middle section;,18,critiques;;,negative;;,yes;;
